[2016-12-03 09:01:36.450] [ERROR] TRI_AUTO - GalleryService:deleteGallery: Message:GalleryEntity.remove; StactTrace:CastError: Cast to ObjectId failed for value "undefined" at path "_id"
[2016-12-03 09:01:36.488] [ERROR] TRI_AUTO - GalleryRouter:DELETE /galleries/:gallery_id: Message:galleryService.deleteGallery; StactTrace:CastError: Cast to ObjectId failed for value "undefined" at path "_id"
[2016-12-03 09:01:45.350] [ERROR] TRI_AUTO - GalleryService:deleteGallery: Message:GalleryEntity.remove; StactTrace:CastError: Cast to ObjectId failed for value "undefined" at path "_id"
[2016-12-03 09:01:45.351] [ERROR] TRI_AUTO - GalleryRouter:DELETE /galleries/:gallery_id: Message:galleryService.deleteGallery; StactTrace:CastError: Cast to ObjectId failed for value "undefined" at path "_id"
[2016-12-03 09:01:47.087] [ERROR] TRI_AUTO - GalleryService:deleteGallery: Message:GalleryEntity.remove; StactTrace:CastError: Cast to ObjectId failed for value "undefined" at path "_id"
[2016-12-03 09:01:47.089] [ERROR] TRI_AUTO - GalleryRouter:DELETE /galleries/:gallery_id: Message:galleryService.deleteGallery; StactTrace:CastError: Cast to ObjectId failed for value "undefined" at path "_id"
[2016-12-03 09:01:47.748] [ERROR] TRI_AUTO - GalleryService:deleteGallery: Message:GalleryEntity.remove; StactTrace:CastError: Cast to ObjectId failed for value "undefined" at path "_id"
[2016-12-03 09:01:47.750] [ERROR] TRI_AUTO - GalleryRouter:DELETE /galleries/:gallery_id: Message:galleryService.deleteGallery; StactTrace:CastError: Cast to ObjectId failed for value "undefined" at path "_id"
[2016-12-03 09:01:47.876] [ERROR] TRI_AUTO - GalleryService:deleteGallery: Message:GalleryEntity.remove; StactTrace:CastError: Cast to ObjectId failed for value "undefined" at path "_id"
[2016-12-03 09:01:47.878] [ERROR] TRI_AUTO - GalleryRouter:DELETE /galleries/:gallery_id: Message:galleryService.deleteGallery; StactTrace:CastError: Cast to ObjectId failed for value "undefined" at path "_id"
[2016-12-03 11:10:09.063] [ERROR] TRI_AUTO - GalleryService:deleteGallery: Message:fileSystemService.deleteFileSystemById; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 11:10:09.069] [ERROR] TRI_AUTO - GalleryRouter:DELETE /galleries/:gallery_id: Message:galleryService.deleteGallery; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 11:18:55.031] [ERROR] TRI_AUTO - GalleryService:deleteGallery: Message:fileSystemService.deleteFileSystemById; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 11:18:55.038] [ERROR] TRI_AUTO - GalleryRouter:DELETE /galleries/:gallery_id: Message:galleryService.deleteGallery; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 11:21:16.950] [ERROR] TRI_AUTO - GalleryService:deleteGallery: Message:fileSystemService.deleteFileSystemById; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 11:21:16.951] [ERROR] TRI_AUTO - GalleryRouter:DELETE /galleries/:gallery_id: Message:galleryService.deleteGallery; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 11:29:34.803] [ERROR] TRI_AUTO - GalleryService:deleteGallery: Message:fileSystemService.deleteFileSystemById; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 11:29:34.807] [ERROR] TRI_AUTO - GalleryRouter:DELETE /galleries/:gallery_id: Message:galleryService.deleteGallery; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 11:32:54.939] [ERROR] TRI_AUTO - FileSystemRouter:DELETE /files/:file_id: Message:fileSystemService.deleteFileSystemById; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 11:33:24.594] [ERROR] TRI_AUTO - FileSystemRouter:DELETE /files/:file_id: Message:fileSystemService.deleteFileSystemById; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 12:06:11.275] [ERROR] TRI_AUTO - FileSystemRouter:DELETE /files/:file_id: Message:fileSystemService.deleteFileSystemById; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
[2016-12-03 12:26:22.446] [ERROR] TRI_AUTO - FileSystemRouter:DELETE /files/:file_id: Message:fileSystemService.deleteFileSystemById; StactTrace:Error: Error trong quá trình xóa file. File này không tồn tại trong hệ thống. Làm ơn thông báo lỗi này tới ngườ quản trị hệ thống.
